season,rundle,league,div
65,D,Corridor,2
65,E,Corridor,1
65,E,Corridor,2
65,R,Corridor,1
65,R,Corridor,2
65,A,Frontier,0
65,B,Frontier,0
65,C,Frontier,0
65,D,Frontier,1
65,D,Frontier,2
65,E,Frontier,1
65,E,Frontier,2
65,R,Frontier,1
65,R,Frontier,2
65,A,Highland,0
65,B,Highland,0
65,C,Highland,0
65,D,Highland,1
65,D,Highland,2
65,E,Highland,1
65,E,Highland,2
65,R,Highland,1
65,R,Highland,2
65,A,Horizon,0
65,B,Horizon,0
65,C,Horizon,1
65,C,Horizon,2
65,D,Horizon,1
65,D,Horizon,2
65,E,Horizon,1
65,E,Horizon,2
65,E,Horizon,3
65,R,Horizon,1
65,R,Horizon,2
65,A,Maritime,0
65,B,Maritime,0
65,C,Maritime,0
65,D,Maritime,1
65,D,Maritime,2
65,E,Maritime,1
65,E,Maritime,2
65,R,Maritime,1
65,R,Maritime,2
65,A,Memorial,0
65,B,Memorial,0
65,C,Memorial,0
65,D,Memorial,1
65,D,Memorial,2
65,E,Memorial,1
65,E,Memorial,2
65,R,Memorial,1
65,R,Memorial,2
65,A,Meridian,0
65,B,Meridian,0
65,C,Meridian,0
65,D,Meridian,1
65,D,Meridian,2
65,E,Meridian,1
65,E,Meridian,2
65,R,Meridian,1
65,R,Meridian,2
65,A,Metro,0
65,B,Metro,0
65,C,Metro,0
65,D,Metro,1
65,D,Metro,2
65,E,Metro,1
65,E,Metro,2
65,R,Metro,1
65,R,Metro,2
65,A,Midland,0
65,B,Midland,0
65,C,Midland,0
65,D,Midland,1
65,D,Midland,2
65,E,Midland,1
65,E,Midland,2
65,R,Midland,1
65,R,Midland,2
65,A,Pacific,0
65,B,Pacific,0
65,C,Pacific,0
65,D,Pacific,1
65,D,Pacific,2
65,E,Pacific,1
65,E,Pacific,2
65,E,Pacific,3
65,R,Pacific,1
65,R,Pacific,2
65,A,Seaboard,0
65,B,Seaboard,0
65,C,Seaboard,0
65,D,Seaboard,1
65,D,Seaboard,2
65,E,Seaboard,1
65,E,Seaboard,2
65,R,Seaboard,1
65,R,Seaboard,2
65,A,Sequoia,0
65,B,Sequoia,0
65,C,Sequoia,0
65,D,Sequoia,1
65,D,Sequoia,2
65,E,Sequoia,1
65,E,Sequoia,2
65,R,Sequoia,1
65,R,Sequoia,2
65,A,Skyline,0
65,B,Skyline,0
65,C,Skyline,1
65,C,Skyline,2
65,D,Skyline,1
65,D,Skyline,2
65,D,Skyline,3
65,E,Skyline,1
65,E,Skyline,2
65,E,Skyline,3
65,R,Skyline,1
65,R,Skyline,2
65,R,Skyline,3
66,A,Alpine,0
66,B,Alpine,0
66,C,Alpine,0
66,D,Alpine,1
66,D,Alpine,2
66,E,Alpine,1
66,E,Alpine,2
66,R,Alpine,1
66,R,Alpine,2
66,A,Central,0
66,B,Central,0
66,C,Central,0
66,D,Central,1
66,D,Central,2
66,E,Central,1
66,E,Central,2
66,R,Central,1
66,R,Central,2
66,A,Coastal,0
66,B,Coastal,0
66,C,Coastal,0
66,D,Coastal,1
66,D,Coastal,2
66,E,Coastal,1
66,E,Coastal,2
66,R,Coastal,1
66,R,Coastal,2
66,A,Corridor,0
66,B,Corridor,0
66,C,Corridor,0
66,D,Corridor,1
66,D,Corridor,2
66,E,Corridor,1
66,E,Corridor,2
66,R,Corridor,1
66,R,Corridor,2
66,A,Frontier,0
66,B,Frontier,0
66,C,Frontier,0
66,D,Frontier,1
66,D,Frontier,2
66,E,Frontier,1
66,E,Frontier,2
66,R,Frontier,1
66,R,Frontier,2
66,A,Highland,0
66,B,Highland,0
66,C,Highland,0
66,D,Highland,1
66,D,Highland,2
66,E,Highland,1
66,E,Highland,2
66,R,Highland,1
66,R,Highland,2
66,A,Horizon,0
66,B,Horizon,0
66,C,Horizon,1
66,C,Horizon,2
66,D,Horizon,1
66,D,Horizon,2
66,D,Horizon,3
66,E,Horizon,1
66,E,Horizon,2
66,E,Horizon,3
66,R,Horizon,1
66,R,Horizon,2
66,A,Maritime,0
66,B,Maritime,0
66,C,Maritime,1
66,C,Maritime,2
66,D,Maritime,1
66,D,Maritime,2
66,E,Maritime,1
66,E,Maritime,2
66,R,Maritime,1
66,R,Maritime,2
66,A,Memorial,0
