season,league
91,Savanna
91,Central
91,Bayou
91,Typhoon
91,Highland
91,Seneca
91,Windward
91,Aurora
91,Blue
91,Evergreen
91,Badlands
91,Patagonia
91,Delta
91,Sakura
91,Olympic
91,Corridor
91,Veldt
91,Sunrise
91,Quarry
91,Isthmus
91,Woodlands
91,Frontier
91,Foundry
91,Utopia
91,Meadow
91,Cascade
91,Taiga
91,Piedmont
91,Coastal
91,Polaris
91,Zenith
91,Rainforest
91,Tundra
91,Valley
91,Seaboard
91,Keystone
91,Rubicon
92,Orange
92,Valhalla
92,Midland
92,Ravenna
92,Garden
92,Lyceum
92,Canyon
92,Glacier
92,Memorial
92,Maelstrom
92,Mesa
92,Junction
92,Magnolia
92,Laguna
92,Laurel
92,Galaxy
92,Village
92,Meridian
92,Arcadia
92,Denali
92,Boardwalk
92,Archipelago
92,Peninsula
92,Wilderness
92,Serengeti
92,Hinterland
92,Summit
92,Juniper
92,Prairie
92,Union
92,Citadel
92,Fjord
92,Riviera
92,Sugarloaf
92,Zephyr
92,Plaza
92,Maritime
92,Horizon
92,Cosmos
92,River
92,Orbital
92,Monolith
92,Spring
92,Atlantic
92,Nebula
92,Pioneer
92,Continental
92,Centennial
92,Pacific
92,Skyline
92,Elysium
92,Nova
92,Tidewater
92,Sierra
92,Metro
92,Alpine
92,Morningstar
92,Xanadu
92,Commonwealth
92,Outback
92,Palisade
92,Yukon
92,Sequoia
92,Savanna
92,Central
92,Bayou
92,Typhoon
92,Highland
92,Seneca
92,Windward
92,Aurora
92,Blue
92,Evergreen
92,Badlands
92,Patagonia
92,Delta
92,Sakura
92,Olympic
92,Corridor
92,Veldt
92,Sunrise
92,Quarry
92,Isthmus
92,Woodlands
92,Frontier
92,Foundry
92,Utopia
92,Meadow
92,Cascade
92,Taiga
92,Piedmont
92,Coastal
92,Polaris
92,Zenith
92,Rainforest
92,Tundra
92,Valley
92,Seaboard
92,Keystone
92,Rubicon
93,Orange
93,Valhalla
93,Midland
93,Ravenna
93,Garden
93,Lyceum
93,Canyon
93,Glacier
93,Memorial
93,Maelstrom
93,Mesa
93,Junction
93,Magnolia
93,Laguna
93,Laurel
93,Galaxy
93,Village
93,Meridian
93,Arcadia
93,Denali
93,Boardwalk
93,Archipelago
93,Peninsula
93,Wilderness
93,Serengeti
93,Hinterland
93,Summit
93,Juniper
93,Prairie
93,Union
93,Citadel
93,Fjord
93,Riviera
93,Sugarloaf
93,Zephyr
93,Plaza
93,Maritime
93,Horizon
93,Cosmos
93,River
93,Orbital
93,Monolith
93,Spring
93,Atlantic
93,Nebula
93,Pioneer
93,Continental
93,Centennial
93,Pacific
93,Skyline
93,Elysium
93,Nova
93,Tidewater
93,Sierra
93,Metro
93,Alpine
93,Morningstar
93,Xanadu
93,Commonwealth
93,Outback
93,Palisade
93,Yukon
93,Sequoia
93,Savanna
93,Central
93,Bayou
93,Typhoon
93,Highland
93,Seneca
93,Windward
93,Aurora
93,Blue
93,Evergreen
93,Badlands
93,Patagonia
